feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
3005,dead,37,33,4,8035,759,0.7793092719352831,-0.3597321137885364,0.5570142951867847,0.8918918918918919,0.10810810810810811,6.388400221161359e-26
3007,dna-private,24,24,0,8044,763,4.650568711542047,2.2174071521673038,0.26199068748151555,1.0,0.0,6.137591276259506e-74
3008,dead,40,38,2,8030,761,1.8006226650062267,0.8484958845424542,0.577200390112483,0.95,0.05,6.388400221161359e-26
3009,dna-private,14,12,2,8056,761,0.5667825223435948,-0.8191328237820831,0.3441645340324851,0.8571428571428571,0.14285714285714285,1.3486175434808079e-64
3010,dna-private,87,86,1,7982,762,8.209972437985467,3.0373773786841483,0.006314309510251936,0.9885057471264368,0.011494252873563218,6.137591276259506e-74
3011,dna-private,20,19,1,8049,762,1.798732761833768,0.8469808609552302,1.0,0.95,0.05,1.499676973186056e-14
3012,dead,24,24,0,8044,763,4.650568711542047,2.2174071521673038,0.26199068748151555,1.0,0.0,6.137591276259506e-74
3013,dna-private,26,20,6,8048,757,0.31353545394300864,-1.673299505653589,0.020956108383636048,0.7692307692307693,0.23076923076923078,6.137591276259506e-74
3014,dead,25,20,5,8048,758,0.37673956262425445,-1.4083605516344355,0.05921837402854664,0.8,0.2,6.137591276259506e-74
3015,shared,25,24,1,8044,762,2.2734957732471406,1.1849123219091262,0.7193889252568892,0.96,0.04,6.388400221161359e-26
3016,prot-private,24,24,0,8044,763,4.650568711542047,2.2174071521673038,0.26199068748151555,1.0,0.0,6.137591276259506e-74
3017,dead,16,13,3,8055,760,0.40885578315745913,-1.2903360478430472,0.15504769204284768,0.8125,0.1875,6.137591276259506e-74
3018,dna-private,16,13,3,8055,760,0.40885578315745913,-1.2903360478430472,0.15504769204284768,0.8125,0.1875,6.137591276259506e-74
3019,prot-private,18,17,1,8051,762,1.6089926717177991,0.6861577552096091,1.0,0.9444444444444444,0.05555555555555555,1.499676973186056e-14
3020,dna-private,23,22,1,8046,762,2.08351976137211,1.059022783504989,0.716472396975913,0.9565217391304348,0.043478260869565216,6.388400221161359e-26
3021,dna-private,104,99,5,7969,758,1.883347973396913,0.9132995815314653,0.21636905416989075,0.9519230769230769,0.04807692307692308,6.137591276259506e-74
3022,dna-private,56,53,3,8015,760,1.6751923476814305,0.7443267571310803,0.6293208291051453,0.9464285714285714,0.05357142857142857,6.388400221161359e-26
3023,dna-private,68,64,4,8004,759,1.5172413793103448,0.6014506235097251,0.5205818057307637,0.9411764705882353,0.058823529411764705,6.388400221161359e-26
3024,prot-private,69,61,8,8007,755,0.7189802672661422,-0.47597591908779496,0.38515438168687777,0.8840579710144928,0.11594202898550725,1.3486175434808079e-64
