feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
103,prot-private,19,18,1,8050,762,1.7038509316770187,0.7687991210462928,1.0,0.9473684210526315,0.05263157894736842,1.0
104,dna-private,30,29,1,8039,762,2.7488493593730565,1.4588278473964156,0.5123772522077924,0.9666666666666667,0.03333333333333333,0.8255694856544993
105,dna-private,52,50,2,8018,761,2.3727862309802945,1.2465821311274996,0.3195524912756258,0.9615384615384616,0.038461538461538464,0.6337399879443156
106,prot-private,114,113,1,7955,762,10.824135763670647,3.4361799346900996,0.0006289378012555562,0.9912280701754386,0.008771929824561403,0.006531364152254217
107,prot-private,38,33,5,8035,758,0.6226260112009957,-0.6835622459202733,0.3755053214500226,0.868421052631579,0.13157894736842105,0.701027723275896
108,prot-private,33,20,13,8048,750,0.143370545955039,-2.8021794276760135,1.5140457786637842e-06,0.6060606060606061,0.3939393939393939,3.427001822364733e-05
109,dna-private,12,11,1,8057,762,1.0403375946382027,0.05705176594078467,1.0,0.9166666666666666,0.08333333333333333,1.0
110,prot-private,10,10,0,8058,763,1.9896382701495317,0.9925061627800148,1.0,1.0,0.0,1.0
111,prot-private,24,24,0,8044,763,4.650568711542047,2.2174071521673038,0.26199068748151555,1.0,0.0,0.5607728191846709
112,dna-private,400,371,29,7697,734,1.219973747048783,0.2868501023700896,0.3619893855163485,0.9275,0.0725,0.6895287838747061
113,dna-private,152,139,13,7929,750,1.0113798422538491,0.016324929602932612,1.0,0.9144736842105263,0.08552631578947369,1.0
114,dna-private,44,38,6,8030,757,0.5970527189705271,-0.744069769696516,0.27219974523256757,0.8636363636363636,0.13636363636363635,0.5748128698207293
115,dna-private,59,57,2,8011,761,2.707339907627013,1.4368760298737735,0.2386021978668214,0.9661016949152542,0.03389830508474576,0.5420170119811207
116,prot-private,260,254,6,7814,757,4.101143247163211,2.0360261358530685,4.171769376550027e-05,0.9769230769230769,0.023076923076923078,0.0006436444180962899
117,dna-private,39,38,1,8030,762,3.605977584059776,1.8503904285322308,0.2534186687730674,0.9743589743589743,0.02564102564102564,0.5502139965319901
