feature,concept,confidence,modality,n_active,path_rate,top_gene,top_sub
1405,aromatic-loss (pi-stacking disruption),0.71,dna-driven,186,0.85,WAS,F>L
567,hydrophobicity-switch,0.71,novel,164,0.35,NLRP1,L>H
644,hydrophobicity-switch,0.71,protein-driven,46,0.75,TTI2,L>P
1368,cysteine-loss (disulfide disruption),0.71,protein-driven,89,0.85,FBN1,C>W
915,proline-introduction (helix breaker),0.71,dna-driven,215,0.95,STXBP1,R>P
1957,aromatic-loss (pi-stacking disruption),0.71,novel,1178,0.68,FGFR2,Y>C
457,hydrophobicity-switch,0.7,dna-driven,118,0.4,NARS2,C>R
1392,hydrophobicity-switch,0.7,cross-modal,858,0.76,GCDH,P>L
1579,cysteine-loss (disulfide disruption),0.7,novel,81,0.5,NFKBIA,C>Y
1520,hydrophobicity-switch,0.7,dna-driven,483,0.58,SCN1A,L>P
79,cysteine-loss (disulfide disruption),0.7,novel,198,0.9,FBN1,C>F
214,hydrophobicity-switch,0.7,cross-modal,251,0.2,OR2W3,I>N
155,hydrophobicity-switch,0.69,dna-driven,1277,0.8,COL3A1,G>V
475,hydrophobicity-switch,0.69,cross-modal,181,0.7,SCN1A,V>D
1458,hydrophobicity-switch,0.69,dna-driven,851,0.87,COL1A2,G>V
391,hydrophobicity-switch,0.69,novel,866,0.71,CFTR,L>P
672,hydrophobicity-switch,0.69,novel,385,0.74,ITGA2B,L>P
1484,charge-reversal,0.69,novel,476,0.91,PROC,D>H
1848,hydrophobicity-switch,0.69,dna-driven,212,0.71,CFTR,L>P
301,hydrophobicity-switch,0.69,novel,89,0.8,ATM,C>R
1531,cysteine-loss (disulfide disruption),0.68,cross-modal,142,1.0,NSD1,C>Y
1859,hydrophobicity-switch,0.68,novel,221,0.95,MLH1,L>P
1921,cysteine-loss (disulfide disruption),0.68,dna-driven,101,1.0,FBN1,C>S
260,hydrophobicity-switch,0.68,novel,470,0.72,NF1,L>R
1599,proline-introduction (helix breaker),0.68,cross-modal,113,1.0,GJB4,T>P
1494,proline-introduction (helix breaker),0.68,novel,604,0.65,TFAP2A,R>P
1311,hydrophobicity-switch,0.68,novel,287,0.64,FBN1,C>R
228,aromatic-loss (pi-stacking disruption),0.68,cross-modal,1247,0.94,SCN1A,F>S
1312,hydrophobicity-switch,0.68,novel,643,0.69,SCN1A,M>R
1394,hydrophobicity-switch,0.68,cross-modal,613,0.97,COL3A1,G>R
137,proline-introduction (helix breaker),0.68,dna-driven,93,1.0,FBN1,T>P
27,hydrophobicity-switch,0.67,protein-driven,241,0.33,TTN,V>G
1231,aromatic-loss (pi-stacking disruption),0.67,cross-modal,84,0.1,SEMA3F,Y>H
20,hydrophobicity-switch,0.67,cross-modal,219,0.29,CACNA1S,L>H
98,cysteine-loss (disulfide disruption),0.67,novel,74,1.0,FBN1,C>W
1020,hydrophobicity-switch,0.67,novel,1184,1.0,CHD2,R>G
1813,hydrophobicity-switch,0.67,cross-modal,580,0.91,CRB1,H>L
0,hydrophobicity-switch,0.67,cross-modal,163,0.95,B3GAT3,L>Q
2034,aromatic-loss (pi-stacking disruption),0.67,novel,1036,0.77,SCN1A,Y>C
210,hydrophobicity-switch,0.67,novel,1170,0.7,COL3A1,G>V
1389,cysteine-loss (disulfide disruption),0.67,novel,179,0.9,UMOD,C>Y
1032,hydrophobicity-switch,0.67,novel,667,0.91,PSEN1,L>P
300,aromatic-loss (pi-stacking disruption),0.67,cross-modal,647,0.75,OTC,Y>D
748,hydrophobicity-switch,0.66,novel,992,0.72,COL3A1,G>V
6,hydrophobicity-switch,0.66,novel,895,0.25,VHL,L>R
2037,hydrophobicity-switch,0.66,cross-modal,664,0.95,SCN1A,I>S
1243,hydrophobicity-switch,0.66,cross-modal,1005,0.76,SCN1A,L>P
610,charge-reversal,0.66,novel,843,0.55,GAA,E>K
417,hydrophobicity-switch,0.66,novel,627,0.95,SCN1A,L>P
842,proline-introduction (helix breaker),0.65,dna-driven,120,0.95,RPS24,T>P
1423,proline-introduction (helix breaker),0.65,cross-modal,144,0.9,NF1,L>P
847,glycine-loss (structural flexibility),0.65,novel,6737,0.79,COL7A1,G>D
1319,hydrophobicity-switch,0.65,protein-driven,1525,0.58,ALOX12B,P>L
1343,charge-reversal,0.65,cross-modal,801,0.41,F2,E>K
368,hydrophobicity-switch,0.65,novel,2138,0.95,COL1A2,P>L
776,hydrophobicity-switch,0.65,cross-modal,496,0.29,BMPR2,M>K
655,hydrophobicity-switch,0.65,dna-driven,60,0.8,OTC,L>P
1674,charge-reversal,0.65,novel,399,0.67,EDARADD,E>K
234,hydrophobicity-switch,0.65,novel,96,0.9,NF1,L>P
1972,hydrophobicity-switch,0.65,cross-modal,976,0.77,CHST3,L>P
132,cysteine-gain (novel disulfide/redox),0.65,novel,209,0.85,ADGRV1,Y>C
2028,cysteine-loss (disulfide disruption),0.64,cross-modal,441,0.64,FBN1,C>Y
927,hydrophobicity-switch,0.64,novel,187,0.45,MEOX1,S>L
605,hydrophobicity-switch,0.64,novel,58,0.55,SCN8A,R>G
946,proline-introduction (helix breaker),0.64,novel,49,0.7,ENO3,L>P
394,hydrophobicity-switch,0.64,dna-driven,344,0.85,SCN2A,L>P
1374,hydrophobicity-switch,0.64,novel,92,0.4,FAS,S>I
1331,hydrophobicity-switch,0.64,novel,352,0.63,NSD1,V>D
701,hydrophobicity-switch,0.64,dna-driven,1587,0.9,COL1A1,G>V
679,proline-introduction (helix breaker),0.64,cross-modal,405,0.82,CFTR,R>P
339,hydrophobicity-switch,0.64,dna-driven,186,0.5,FASTKD1,L>P
813,cysteine-loss (disulfide disruption),0.64,protein-driven,252,0.92,FBN1,C>G
414,hydrophobicity-switch,0.63,cross-modal,1493,0.82,SCN1A,I>S
123,proline-introduction (helix breaker),0.63,cross-modal,226,0.91,LMNA,A>P
660,hydrophobicity-switch,0.63,novel,1162,0.88,SCN1A,I>N
458,hydrophobicity-switch,0.63,dna-driven,401,0.88,COL3A1,G>V
710,hydrophobicity-switch,0.63,novel,921,0.87,SLC19A3,L>R
1468,cysteine-loss (disulfide disruption),0.63,novel,822,0.79,BMPR2,C>R
486,charge-reversal,0.62,cross-modal,1230,0.9,LMNA,E>K
160,aromatic-loss (pi-stacking disruption),0.62,novel,1801,0.63,SCN1A,Y>C
226,glycine-loss (structural flexibility),0.62,cross-modal,1262,0.94,COL1A2,G>S
589,proline-introduction (helix breaker),0.62,cross-modal,336,1.0,SLC12A3,L>P
1552,hydrophobicity-switch,0.62,protein-driven,94,0.8,RFT1,I>K
1286,hydrophobicity-switch,0.62,novel,170,0.8,VHL,S>L
954,hydrophobicity-switch,0.62,novel,999,0.78,TYMP,L>R
629,hydrophobicity-switch,0.62,cross-modal,265,0.27,SUMF1,T>I
15,proline-introduction (helix breaker),0.62,cross-modal,54,0.8,ALOXE3,R>P
1584,hydrophobicity-switch,0.62,novel,258,0.64,ETHE1,M>R
1187,cysteine-loss (disulfide disruption),0.62,cross-modal,424,0.9,FBN1,C>W
990,aromatic-loss (pi-stacking disruption),0.62,novel,285,0.46,MAPT,F>S
845,hydrophobicity-switch,0.62,dna-driven,62,0.05,CYP2A7,G>E
1388,hydrophobicity-switch,0.62,protein-driven,1739,0.84,MLH1,R>G
423,hydrophobicity-switch,0.61,novel,508,0.44,GH1,E>V
1962,hydrophobicity-switch,0.61,novel,1169,0.63,BRCA2,E>V
1998,hydrophobicity-switch,0.61,novel,156,0.85,ENG,M>R
800,hydrophobicity-switch,0.61,cross-modal,185,0.9,GATC,M>R
299,hydrophobicity-switch,0.61,novel,1066,0.78,MMUT,R>G
376,hydrophobicity-switch,0.61,novel,1641,0.68,VHL,D>V
783,hydrophobicity-switch,0.61,novel,381,0.84,ARX,L>Q
355,hydrophobicity-switch,0.61,novel,585,0.78,NF1,R>G
1644,charge-reversal,0.6,cross-modal,131,0.05,FOCAD,K>E
1907,aromatic-loss (pi-stacking disruption),0.6,novel,648,0.39,CASR,F>C
