feature,n_active,path_rate,modality,modality_ratio,concept,specificity,top_gene,top_gene_frac,top_family,top_family_frac,top_sub,top_sub_frac,gly_from,cys_from,cys_to,pro_to,mean_hydro_change,mean_charge_change,mean_vol_change,pos_clustered,mean_pLI,top_go_1,top_go_2,top_go_3
9695,38,0.444,cross-mo,0.552,unresolved,0,SLC26A4,0.15,transporter,0.15,S>R,0.25,0.05,0.0,0.0,0.05,3.43,0.55,54.2,False,0.188,GO:0005886,GO:0005829,GO:0070062
9698,54,1.0,cross-mo,0.568,pathogenic-general,1,PAH,0.25,transporter,0.05,P>R,0.5,0.0,0.0,0.0,0.0,2.81,0.55,47.8,False,0.3,GO:0005829,GO:0005737,GO:0016020
9702,25,-1.0,cross-mo,0.573,mechanism:hydrophobicity-switch,2,SGSH,0.1,keratin,0.05,P>L,1.0,0.0,0.0,0.0,0.0,5.4,0.0,54.0,False,0.199,GO:0005829,GO:0005737,GO:0005634
9703,3039,0.961,cross-mo,0.559,pathogenic-general,1,GCDH,0.026,transporter,0.026,T>I,0.364,0.06,0.02,0.046,0.066,4.47,0.13,54.3,False,0.211,GO:0005886,GO:0005829,GO:0005737
9704,73,0.308,cross-mo,0.561,unresolved,0,TP53,0.1,other,0.0,V>L,0.95,0.0,0.0,0.0,0.0,0.47,0.0,26.5,False,0.11,GO:0005886,GO:0005829,GO:0005737
9705,31,-1.0,cross-mo,0.593,unresolved,0,LZTR1,0.1,other,0.0,L>F,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23.2,False,0.078,GO:0005509,GO:0007155,GO:0005737
9709,309,-1.0,cross-mo,0.559,benign-general,1,DCBLD2,0.05,other,0.0,Y>F,1.0,0.0,0.0,0.0,0.0,4.1,0.0,3.7,False,0.059,GO:0005886,GO:0005737,GO:0005634
9710,2664,0.092,cross-mo,0.556,benign-general,1,KRTAP4-8,0.015,keratin,0.023,R>H,0.97,0.0,0.0,0.0,0.0,1.33,0.5,20.1,False,0.172,GO:0005829,GO:0005886,GO:0005737
9711,1909,0.333,dna-driv,0.229,unresolved,0,HBB,0.032,transporter,0.042,T>A,0.116,0.011,0.021,0.053,0.063,2.68,0.33,39.9,False,0.153,GO:0005886,GO:0005829,GO:0005634
9712,60,-1.0,cross-mo,0.596,benign-general,1,ZNF780B,0.1,keratin,0.05,C>G,0.95,0.0,1.0,0.0,0.0,3.1,0.05,49.2,False,0.008,GO:0008270,GO:0005634,GO:0000978
9713,7882,0.676,dna-driv,0.155,unresolved,0,GLA,0.028,transporter,0.036,A>D,0.107,0.173,0.003,0.0,0.091,3.53,0.47,40.3,False,0.203,GO:0005829,GO:0005737,GO:0005634
9714,5034,0.009,cross-mo,0.582,benign-general,1,CFHR4,0.02,keratin,0.056,R>H,0.064,0.064,0.02,0.108,0.052,2.53,0.41,39.4,False,0.127,GO:0005886,GO:0005829,GO:0005737
9716,142,0.125,cross-mo,0.607,unresolved,0,CEL,0.1,other,0.0,G>R,0.15,0.2,0.0,0.0,0.25,3.5,0.35,41.8,False,0.166,GO:0016020,GO:0005886,GO:0005576
9718,848,0.455,cross-mo,0.373,unresolved,0,RAG2,0.048,transporter,0.048,M>K,0.452,0.0,0.0,0.0,0.0,4.86,0.86,19.2,False,0.217,GO:0005737,GO:0016020,GO:0005829
9719,141,-1.0,cross-mo,0.541,benign-general,1,UPF3B,0.1,collagen,0.1,K>N,0.15,0.0,0.0,0.0,0.0,2.04,0.82,33.7,False,0.323,GO:0005737,GO:0005634,GO:0005829
9720,290,0.667,cross-mo,0.596,unresolved,0,EDA,0.05,transporter,0.05,S>F,0.25,0.1,0.05,0.0,0.0,2.72,0.3,59.8,False,0.244,GO:0005886,GO:0005737,GO:0005829
9726,140,0.0,cross-mo,0.585,benign-general,1,GATA2,0.1,other,0.0,S>P,1.0,0.0,0.0,0.0,1.0,0.8,0.0,23.7,False,0.812,GO:0005634,GO:0005654,GO:0000981
9730,190,-1.0,cross-mo,0.58,benign-general,1,PXMP2,0.05,keratin,0.1,G>V,0.25,0.35,0.15,0.0,0.0,3.4,0.25,51.4,False,0.183,GO:0005829,GO:0005737,GO:0070062
9731,12,0.875,cross-mo,0.569,unresolved,0,NR0B1,0.05,ion_channel,0.1,A>G,0.55,0.0,0.0,0.05,0.1,2.19,0.1,37.9,False,0.286,GO:0005634,GO:0005829,GO:0005737
9732,51,0.5,cross-mo,0.562,unresolved,0,SMPD1,0.1,RAS_MAPK,0.1,L>V,0.5,0.0,0.0,0.0,0.0,1.27,0.0,30.2,False,0.174,GO:0005737,GO:0005829,GO:0070062
9734,155,-1.0,cross-mo,0.578,benign-general,1,CUL4B,0.05,ion_channel,0.05,S>F,0.4,0.05,0.05,0.05,0.0,3.16,0.25,74.6,False,0.386,GO:0005737,GO:0005829,GO:0005634
9735,30,0.933,cross-mo,0.585,mechanism:disulfide-bond-loss,4,ELANE,0.25,coagulation,0.25,C>Y,0.4,0.0,0.95,0.0,0.0,3.73,0.25,63.2,False,0.308,GO:0004252,GO:0006508,GO:0005615
9737,12,0.875,cross-mo,0.567,unresolved,0,HNF1A,0.1,keratin,0.15,R>G,0.15,0.05,0.0,0.25,0.05,4.09,0.6,56.7,False,0.48,GO:0005829,GO:0005634,GO:0005654
